x,y
0,0.10
2,4.30
4,7.91
6,11.03
8,15.65
10,17.33
12,17.41
14,17.69
16,18.97
18,21.49
20,17.46
22,16.49
24,13.17
26,12.30
28,11.72
30,7.34
32,5.94
34,2.68
36,0.22
38,-4.68
40,-3.74
42,-0.07
44,2.77
46,4.58
48,8.90
50,9.43
52,10.06
54,13.64
56,14.13
58,15.70
60,18.51
62,19.43
64,21.41
66,18.38
68,17.90
70,17.74
72,16.48
74,15.85
76,14.04
78,10.39
80,7.31
82,3.84
84,2.86
86,1.20
88,-1.74
90,-1.22
92,0.33
94,3.65
96,3.92
98,4.79
100,6.51
102,10.65
104,13.21
106,13.61
108,15.77
110,18.63
112,20.28
114,19.04
116,15.08
118,13.97
120,10.90
122,6.42
124,4.14
126,1.94
128,-1.81
130,0.06
132,1.15
134,2.88
136,6.23
138,7.64
140,8.06
142,11.35
144,14.87
146,18.62
148,20.56
150,18.18
152,16.73
154,13.65
156,13.25
158,8.76
160,4.06
162,2.43
164,-2.23
166,1.35
168,6.02
170,9.82
172,11.55
174,15.72
176,18.16
178,19.96
180,20.59
182,16.35
184,14.72
186,10.00
188,8.24
190,6.97
192,2.87
194,2.13
196,-2.24
198,-0.70
200,3.90
202,8.11
204,10.78
206,12.70
208,17.32
210,17.57
212,20.85
214,19.58
216,19.35
218,15.47
220,15.29
222,11.66
224,9.45
226,7.59
228,4.40
230,1.51
232,-0.32
234,-0.11
236,4.62
238,5.97
240,6.93
242,8.02
244,8.90
246,11.37
248,11.97
250,16.18
252,19.90
254,22.62
256,18.89
258,16.37
260,15.47
262,13.48
264,9.35
266,7.56
268,6.84
270,2.98
272,1.91
274,-0.59
276,-0.19
278,3.75
280,6.87
282,8.21
284,8.85
286,13.26
288,17.86
290,20.11
292,16.11
294,11.51
296,8.52
298,6.73
300,3.32
302,1.68
304,-0.69
306,-0.07
308,4.82
310,8.07
312,11.82
314,15.89
316,16.72
318,18.14
320,22.29
322,18.06
324,14.50
326,11.10
328,9.74
330,5.31
332,2.37
334,0.72
336,-3.93
338,-0.77
340,0.07
342,4.73
344,7.69
346,8.32
348,9.88
350,14.37
352,16.24
354,19.48
356,24.28
358,22.84
360,18.74
362,14.25
364,11.45
366,10.92
368,9.52
370,7.41
372,6.83
374,5.39
376,0.96
378,-1.33
380,1.16
382,4.64
384,7.82
386,11.72
388,13.31
390,18.11
392,20.77
394,18.40
396,16.20
398,16.15
